% Generated by PAnDConv in Thu Oct 27 00:55:52 2011
% Author: Paulo Joia Filho
% instances: 255
% dimension: 25

@RELATION DY

@ATTRIBUTE	id	STRING
@ATTRIBUTE	wavelet3	REAL
@ATTRIBUTE	wavelet12	REAL
@ATTRIBUTE	gabor28	REAL
@ATTRIBUTE	colormoments14	REAL
@ATTRIBUTE	colormoments22	REAL
@ATTRIBUTE	colormoments23	REAL
@ATTRIBUTE	colormoments26	REAL
@ATTRIBUTE	colormoments42	REAL
@ATTRIBUTE	colormoments46	REAL
@ATTRIBUTE	colormoments49	REAL
@ATTRIBUTE	colormoments52	REAL
@ATTRIBUTE	colormoments55	REAL
@ATTRIBUTE	colormoments58	REAL
@ATTRIBUTE	colormoments63	REAL
@ATTRIBUTE	colormoments81	REAL
@ATTRIBUTE	colormoments85	REAL
@ATTRIBUTE	colormoments93	REAL
@ATTRIBUTE	colormoments94	REAL
@ATTRIBUTE	colormoments95	REAL
@ATTRIBUTE	colormoments104	REAL
@ATTRIBUTE	colormoments107	REAL
@ATTRIBUTE	colormoments109	REAL
@ATTRIBUTE	colormoments116	REAL
@ATTRIBUTE	colormoments132	REAL
@ATTRIBUTE	colormoments138	REAL
@ATTRIBUTE	class {1,2,3}

@DATA
29,0.12444,0.39536,0.026358,0.18626,0.26373,0.097178,0.12454,0.5267,0.52713,0.26108,0.43361,0.55841,0.16955,0.31526,0.29659,0.5455,0.44412,0.36878,0.74987,0.197,0.25703,0.44759,0.30025,0.40965,0.00071,1
30,0.10691,0.466,0.44611,0.054328,1,0.037041,0.013293,0.046991,0.69517,0.78866,0.36577,0.73435,0.63134,0.57611,0.091518,0.39217,0.30886,0.22636,0.63848,0.66455,0.39274,0.64372,0.30248,0.44684,0.009556,1
31,0.69745,1,0.57001,0.014805,0.052351,0.018288,0.039338,0.007149,0.57752,0.10594,0.60493,0.51452,0.062371,0.32792,0.053449,0.096284,0.072339,0.041723,0.062555,0.006519,0.024947,0.50972,0.20163,0.001426,0.028061,1
32,0.48067,0.56097,0.52678,0.33552,0.18783,0.30691,0.63317,0.40963,0.59973,0.36458,0.27632,0.6346,0.26107,0.46327,0.22473,0.42734,0.36852,0.57053,0.5905,0.41398,0.21201,0.94862,0.12908,0.075917,0.035548,1
33,0.53345,0.48604,0.21411,0.039136,0.25995,0.040888,0.063803,0.035175,0.68838,0.16998,0.89584,0.69471,0.16961,0.44022,0.13704,0.20085,0.28685,0.23574,0.36993,0.26802,0.36565,0.85092,0.16936,0.47442,0.021799,1
34,0.44991,0.23561,0.11424,0.67773,0.52039,0.70046,0.41446,0.56743,0.61244,0.39722,0.45957,0.60868,0.36898,0.007282,0.20993,0.283,0.097365,0.30945,0.13706,0.41248,0.46465,0.54839,0.41485,0.76382,0.34295,1
35,0.13453,0.11399,0.026786,0.05618,0.13032,0.39082,0.33381,0.31499,0.77226,0.12661,0.47392,0.88692,0.16661,0.35003,0.20642,0.16046,0.20529,0.17816,0.24378,0.15227,0.32759,0.87564,0.20211,0.4813,0.20899,1
36,0.64302,0.82824,0.084399,0.052728,0.079333,0.045772,0.1469,0.23008,0.70381,0.12174,0.44551,0.68104,0.11252,0.27978,0.2886,0.16236,0.1939,0.058272,0.1651,0.28713,0.54838,0.94844,0.27776,0.20983,0.23463,1
37,0.95944,0.2191,0.28525,0.056069,0.11298,0.15599,0.24551,0.017902,0.66211,0.092088,0.75134,0.59795,0.13747,0.41658,0.15654,0.13923,0.65132,0.080527,0.20254,0.23764,0.90376,0.75697,0.62332,0.47172,0.51035,1
38,0.18513,0.17716,0.028094,0.004182,0.088312,0.00636,0.033169,0.098962,0.80694,0.12676,0.43783,0.81408,0.12825,0.59123,0.50515,0.25799,0.52102,0.20312,0.26672,0.26674,0.5314,0.97477,0.23909,0.25787,0.37775,1
39,0.16224,0.92397,0.19044,0.072644,0.050668,0.062839,0.19212,0.0256,0.56377,0.039944,0.68266,0.63753,0.051108,0.43521,0.32706,0.042388,0.66403,0.051077,0.082253,0.095544,0.43658,0.96977,0.045313,0.03234,0.097934,1
40,0.038537,0.14076,0.29643,0.28246,0.11956,0.2305,0.4129,0.39816,0.65036,0.20941,0.54252,0.66634,0.20365,0.24198,0.13546,0.17531,0.27432,0.13434,0.29835,0.39251,0.3882,0.68835,0.17332,0.22376,0.14138,1
41,0.8291,0.76859,1,0.043119,0.51799,0.046923,0.026724,0.12998,0.60995,0.48842,0.5524,0.59823,0.46325,0.3958,0.012024,0.51368,0.087451,0.48393,0.13541,0.041424,0.037212,0.60339,0.026105,0.026892,0.00959,1
42,1,0.18156,0.18843,0.19757,0.24944,0.2453,0.21643,0.1779,0.60637,0.2295,0.74708,0.61242,0.16083,0.29862,0.30252,0.1059,0.44889,0.13435,0.15858,0.11761,0.11288,0.95628,0.33094,0.38763,0.41997,1
43,0.54373,0.63368,0.22981,0.062712,0.036072,0.05347,0.34277,0.52048,0.63302,0.19451,0.38721,0.69533,0.11072,0.2596,0.38782,0.1,0.31273,0.093478,0.32039,0.44535,0.771,0.88151,0.23795,0.4535,0.25324,1
44,0.62206,0.99462,0.41094,0.078521,0.076012,0.090965,0.16615,0.043741,0.71188,0.11341,0.51398,0.76698,0.17324,0.57117,0.47847,0.10377,0.28625,0.071523,0.2049,0.089918,0.56838,0.98578,0.087212,0.12819,0.10262,1
45,0.47935,0.035689,-0.000407,0.02952,0.056439,0.047866,0.38284,0.22827,0.88823,0.081838,0.65747,0.86866,0.098711,0.36662,0.23099,0.3042,0.14174,0.17695,0.37475,0.45481,0.41475,0.87138,0.5233,0.63021,0.34011,1
46,0.84702,0.92547,0.48029,0.05024,0.48345,0.33962,0.31028,0.049763,0.67888,0.37478,0.66439,0.64751,0.40825,0.086249,0.034318,0.23961,0.56648,0.27876,0.14372,0.20121,0.18472,0.63413,0.21279,0.018326,0.036151,1
47,0.078165,0.19827,0.25653,0.080389,0.11102,0.086725,0.37622,0.12866,0.70844,0.19677,0.47669,0.70048,0.15071,0.057756,0.15665,0.20007,0.23889,0.18197,0.55008,0.23545,0.2821,0.90073,0.19249,0.17237,0.30759,1
48,0.98237,0.99006,0.60768,0.11263,0.17652,0.066335,0.053889,0.08881,0.86034,0.15895,0.831,0.76201,0.032723,0.24179,0.0657,0.083763,1,0.003854,0.028725,0.006286,0.005952,0.62083,0.014194,0.015295,0.59638,1
49,0.54825,0.99435,0.34175,0.14229,0.10111,0.16514,0.23343,0.3055,0.79743,0.19077,0.31262,0.77417,0.1954,0.65992,0.050716,0.19124,0.39433,0.2458,0.34989,0.26992,0.24667,0.91872,0.23399,0.21616,0.035946,1
50,0.94561,0.13899,0.53111,0.030334,0.20051,0.024658,0.056514,0.054887,0.69703,0.18398,0.70373,0.65011,0.20972,0.22706,0.035907,0.23329,0.41867,0.15405,0.18324,0.036965,0.040853,0.73739,0.37128,0.49174,0.68754,1
51,0.67692,0.5282,0.25128,0.10504,0.18042,0.12556,0.069657,0.23058,0.85981,0.10948,0.6874,0.78159,0.07636,0.4578,0.24816,0.20679,0.31667,0.23009,0.39166,0.40349,0.53166,0.98014,0.1637,0.28812,0.056712,1
52,0.62659,0.83467,0.40545,0.23206,0.062138,0.047131,0.1139,0.48779,0.50716,0.48587,0.33836,0.54015,0.15767,0.37752,0.32599,0.41705,0.05168,0.092485,0.21196,0.058978,0.22337,0.50367,0.19955,0.061641,0.055107,1
53,0.50121,0.72325,0.024825,0.056622,0.12165,0.16745,0.22434,0.031633,0.61741,0.11849,0.63477,0.58948,0.26404,0.24681,0.095304,0.31926,0.4299,0.35192,0.45932,0.46966,0.46333,0.59156,0.19517,0.383,0.043157,1
54,0.15111,0.17174,0.063626,0.20533,0.20731,0.17878,0.18986,0.093851,0.59548,0.077236,0.87679,0.6268,0.078631,0.41424,0.10428,0.16115,0.24402,0.12574,0.21172,0.21395,0.29448,0.84679,0.26186,0.092154,0.085976,1
55,0.2456,0.10936,0.13366,0.054185,0.043,0.057586,0.086027,0.073414,0.61927,0.085821,0.86809,0.61814,0.10295,0.38167,0.48009,0.24343,0.25609,0.19779,0.46525,0.32708,0.57178,0.69174,0.28696,0.5141,0.30971,1
56,0.94947,0.97972,0.14869,0.62136,0.41052,0.65123,0.42633,0.0311,0.60322,0.04368,0.75235,0.57,0.058866,0.25924,0.36048,0.1087,0.53215,0.11846,0.43944,0.21444,0.76161,0.61096,0.33529,0.016847,0.39657,1
57,0.70438,0,0.2559,0.027626,0.12738,0.027279,0.036165,0.006241,0.5384,0.11864,0.77826,0.5368,0.11533,0.032327,0.268,0.15748,0.85785,0.16711,0.4133,0.20711,0.55695,0.99202,0.17948,0.56681,0.036228,1
58,0.3821,0.8017,0.53182,0.053785,0.20334,0.055216,0.081965,0.00734,0.67797,0.19307,0.77786,0.67579,0.19147,0.038971,0.009801,0.16604,0.2475,0.18585,0.31114,0.071632,0.10435,0.65115,0.052264,0.026057,0.016272,1
59,0.18237,0.051477,0.10181,0.11429,0.032721,0.045365,0.38697,0.27233,0.84176,0.050325,0.64713,0.69731,0.09384,0.38552,0.27051,0.15975,0.44038,0.2221,0.45446,0.16917,0.13513,0.92945,0.095078,0.099949,0.035076,1
60,0.14631,0.19778,0.19761,0.23786,0.17909,0.20333,0.31973,0.18468,0.63632,0.20002,0.41848,0.68398,0.188,0.2296,0.34337,0.34929,0.10827,0.25455,0.41412,0.54467,0.34178,0.96239,0.26551,0.43972,0.021113,1
61,0.26325,0.095505,0.19143,0.12742,0.085879,0.10524,0.19448,0.085905,0.50444,0.18384,0.74894,0.49513,0.17296,0.47651,0.20027,0.29197,0.074431,0.36098,0.56427,0.44734,0.51262,0.47817,0.24424,0.24447,0.020398,1
62,0.30976,0.17909,0.15566,0.006938,0.006356,0.026893,0.40939,0.048829,0.69278,0.109,0.81778,0.64434,0.089053,0.41111,0.38701,0.17313,0.10465,0.12233,0.24594,0.30118,0.54441,0.9056,0.29517,0.11868,0.5859,1
63,0,0.59651,0.18426,0.1527,0.33535,0.21481,0.25832,0.14331,0.82313,0.36292,0.52729,0.77492,0.41135,0.35299,0.15239,0.21382,0.32266,0.090653,0.38133,0.38728,0.24549,0.89683,0.20966,0.23356,0.24706,1
64,0.55595,0.24564,0.20471,0.26658,0.045382,0.14037,0.29959,0.064096,0.61659,0.14314,0.84234,0.58636,0.2331,0.30224,0.31656,0.21926,0.73335,0.23226,0.72531,0.20173,0.4808,0.70422,0.33591,0.87718,0.616,1
65,0.81201,0.94253,0.3865,0.46717,0.13686,0.40558,0.32158,0.15996,0.78821,0.1287,0.64628,0.69206,0.066667,0.17676,0.22742,0.32478,0.085911,0.038015,0.11128,0.071948,0.21247,0.78821,0.32909,0.21579,0.17838,1
66,0.60832,0.36506,0.25048,0.23536,0.18357,0.2066,0.17159,0.54776,0.85895,0.31553,0.4091,0.90413,0.30088,0.45655,0.40849,0.30753,0.61657,0.30181,0.61807,0.451,0.56479,0.77509,0.49692,0.77657,0.33194,1
67,0.45229,0.64841,0.11508,0.26931,0.22589,0.26586,0.26002,0.29126,0.76414,0.29721,0.40034,0.77578,0.27998,0.34259,0.20565,0.19556,0.44882,0.061198,0.27416,0.17648,0.28329,0.6989,0.55823,0.28681,0.35683,1
68,0.63648,0.64713,0.092328,0.1711,0.045672,0.024151,0.050591,0.13058,0.49943,0.30878,0.35659,0.50251,0.13924,0.40666,0.11703,0.13638,0.12442,0.12019,0.22561,0.19215,0.41508,0.452,0.11302,0.44995,0.3909,1
69,0.41286,0.68595,0.64227,0.012283,0.17936,0.013312,0.020881,0.012101,0.58344,0.26331,0.78322,0.57823,0.22286,0.37588,0.005217,0.16509,0.011139,0.15826,0.028672,0.006696,0.028197,0.57716,0.019306,0.039526,0.64041,1
70,0.4602,0.12801,0.2293,0,0,0,0.42516,0,0.47765,0.001947,0.70776,0.47295,0.0011,0.41397,0.25507,0.003495,0,0.001532,0.088618,0.064297,0.47162,0.45872,0.50805,0.32063,0,1
71,0.085853,0.22296,0.48507,0.66251,0.28484,0.6473,0.47412,0.46414,0.78592,0.64518,0.28633,0.80779,0.45202,0.2371,0.86717,0.76218,0.24206,0.41872,0.53046,0.60578,0.64596,0.76197,0.75428,0.70409,0.20734,1
72,0.6523,0.61869,0.19557,0.057731,0.055148,0.026753,0.19779,0.014683,0.76156,0.22378,0.63521,0.76419,0.18055,0.15606,0.43242,0.32604,0.37892,0.19615,0.45596,0.13065,0.41782,0.71688,0.64704,0.36229,0.51535,1
73,0.73904,0.22267,0.16624,0.081964,0.067974,0.10824,0.11242,0.051042,0.9091,0.1249,0.74248,0.8916,0.30375,0.2177,0.16797,0.17206,0.14164,0.18999,0.39474,0.17246,0.39713,0.90454,0.34029,0.10826,0.23615,1
74,0.1835,0.90065,0.40426,0.68901,0.3151,0.73425,0.55282,1,0.74756,0.36837,0.10396,0.80236,0.48258,0.64451,0.62556,0.20191,0.28268,0.35798,0.76708,0.89402,0.57939,0.81216,0.31805,0.1685,0.61846,1
75,0.42619,0.055633,0.22053,0.014732,0.06483,0.010124,0.029801,0.013209,0.68752,0.06094,1,0.68667,0.052601,0.31267,0.35562,0.11582,0.29267,0.13023,0.27632,0.17032,0.70743,0.72908,0.37943,0.17065,0.16461,1
76,0.70241,0.83217,0.71464,0.016111,0.021712,0.021637,0.026953,0.0014,0.7681,0.022434,0.591,0.7377,0.013609,0.22254,0.18716,0.026437,0.49754,0.011497,0.020299,0.02049,0.006193,0.98523,0.017482,0.017895,0,1
77,0.86324,0.41312,0.43323,0.098426,0.11017,0.10267,0.14241,0.1049,0.91345,0.194,0.60509,0.94093,0.19776,0.11272,0.28523,0.41966,0.25174,0.36373,0.47492,0.51941,0.28107,0.93505,0.22204,0.22249,0.22381,1
78,0.23281,0.29444,0.29953,0.084946,0.1453,0.089068,0.28969,0.023392,0.55354,0.18006,0.42124,0.64562,0.1988,0.052712,0.21555,0.2061,0.15854,0.23812,0.23611,0.056269,0.18966,0.47463,0.18709,0.076516,0.008509,1
79,0.26736,0.83561,0.71866,0.79654,0.76947,0.94665,0.25391,0.37946,0.80932,0.43783,0.19111,0.75355,0.517,0.95693,0.52232,0.49268,0.73566,0.84211,0.78884,0,0,0.50165,0.228,0.63707,0,1
80,0.98497,0.99348,0.26632,0.13149,0.44824,0.11206,0.074759,0.036456,0.73462,0.4255,0.697,0.71477,0.40843,0.38681,0.011457,0.41883,0.22848,0.45498,0.58049,0.36071,0.47149,0.73147,0.57209,0.31007,0.012474,1
81,0.22182,0,0.11802,0.14336,0.03475,0.019425,0.1097,0.11907,0.62185,0.13523,0.4495,0.77634,0.13354,0.52007,0.085202,0.17899,0.41197,0.17953,0.21632,0.077588,0.096653,0.98881,0.16955,0.23236,0.021987,1
82,0.70665,0.076691,0.26063,0.022473,0.031672,0.028828,0.09904,0.033101,0.84558,0.055661,0.79134,0.83158,0.063154,0.36613,0.27843,0.097671,0.36512,0.063575,0.11924,0.073112,0.30449,0.9195,0.368,0.2855,0.35766,1
83,0,0.20673,0.063269,0.034435,0.051166,0.024237,0.046477,0.15568,0.66135,0.05229,0.834,0.70446,0.096824,0.35931,0.37527,0.12474,0.32467,0.17312,0.32711,0.26897,0.35068,0.98394,0.17497,0.12434,0.004917,1
84,0.99266,0.52879,0.32573,0.046252,0.046403,0.087229,0.28459,0.061302,0.62763,0.10324,0.64968,0.61805,0.086231,0.43844,0.011715,0.045821,0.10224,0.057803,0.050648,0.072627,0.1221,0.57528,0.24793,0.047496,0.043818,1
85,0.29832,0.90089,0.29888,0.13864,0.14638,0.11104,0.091708,0.2208,0.74661,0.23277,0.57412,0.69717,0.12979,0.33593,0.35129,0.35886,0.092173,0.29635,0.29474,0.32846,0.51971,0.86156,0.22378,0.088448,0.13746,1
86,0.77843,0.73324,0.09807,0.1681,0.021497,0.09898,0.24566,0.084642,0.57996,0.26951,0.50369,0.58338,0.2919,0.58109,0.3591,0.42033,0.26149,0.2436,0.62618,0.35838,0.77505,0.8655,0.19474,0.63576,0.37911,1
87,0.13896,0.93156,0.24923,0.036121,0,0,0.43531,0,0.47765,0,0.68533,0.47295,0,0.38098,0.46577,0,0,0,0,0.074236,0.25167,0.45872,0.23225,0,0,1
88,0.79766,1,0.35717,0.59262,0.11998,0.43715,0.72368,0.1407,0.81778,0.31445,0.28857,0.61743,0.054063,0.60104,0.26385,0.059015,0.052577,3e-06,0.000257,0,0,0.82615,0.65624,0,0,2
89,0.44076,0.97812,0.32156,0.32801,0.1616,0.18902,0.50154,0.036149,0.68351,0.1679,0.58844,0.63559,0.15791,0.079071,0.13271,0.22178,0.067953,0.22507,0.051931,0.013728,0.04061,0.79959,0.30808,0.018434,0.023408,2
90,0.60011,1,0.45682,0.45894,0.21606,0.59823,0.59867,0.42289,0.77164,0.18872,0.57683,0.60637,0.08301,0.45523,0.29024,0.016684,0.61552,0.000848,0.011794,0,0,0.67573,0.56218,0,0,2
91,0.54807,1,0.38982,0.012842,0.006602,0.019359,0.053377,0.061129,0.76696,0.12186,0.64091,0.73699,0.12505,0.17634,0.11498,0.18883,0.3606,0.074506,0.20751,0.034488,0.1012,0.63128,0.21384,0.00769,0.43236,2
92,0.23551,0.10417,0.64048,0.599,0.62276,0.62325,0.1238,0.38328,0.73911,0.20213,0.43875,0.55969,0.077048,0.89331,0.37154,0.57832,0.18399,0.49957,0.7428,0.52456,0.11474,0.75321,0.2205,0.43679,0.008196,2
93,0.5639,1,-0.000912,0.19678,0.072753,0.15318,0.57414,0.20847,0.91006,0.11259,0.68626,0.8855,0.1017,0.28022,0.18616,0.15676,0.32178,0.077668,0.16445,0.049875,0.59606,0.85275,0.55596,0.002627,0,2
94,0.29893,0.97927,0.25151,0,0.000495,0.051694,0.48884,0.2834,0.47765,0.001947,0.42034,0.47295,0.0011,0.15987,0.56091,0.000807,0,0,0,0,0.30945,0.45872,0.68446,0,0,2
95,0.16193,0.81882,0.26769,0.063965,0.090969,0.106,0.40251,0.15897,0.69818,0.12362,0.48348,0.75109,0.11693,0.39395,0.30924,0.11855,0.051142,0.12246,0.094179,0.11284,0.47064,0.79867,0.32065,0.025287,0.14524,2
96,0.98436,1,0.30569,0.000568,0.000369,0.00373,0.001701,0.084563,0.51118,0.077472,0.52344,0.53249,0.065747,0.897,0.20279,0.14446,0.68568,0.003561,0.023352,0.000445,0.002952,0.47927,0.47398,0,0,2
97,0.98855,1,0.30989,0.000189,5e-06,0.000253,0.000116,0.046076,0.51877,0.074176,0.50619,0.51594,0.067143,0.8999,0.18613,0.11473,0.69362,0.003053,0.016056,0.002231,0.003713,0.48298,0.51075,0,0,2
98,0.96894,1,0.31413,0,1.1e-05,0.000539,0.003775,0.16673,0.49546,0.089718,0.4693,0.50341,0.076735,0.91238,0.24079,0.13639,0.85376,0.00094,0.006556,0.000195,0.000105,0.46495,0.49849,0,0,2
99,0.16499,1,0.58402,0,0,0,0,0.313,0.73395,0.14463,0.55831,0.64283,0.053934,0.51734,0.30451,0.042797,0,0,0,0,0,0.48037,0.095329,0,0,2
